Date,Open,High,Low,Close,Volume,Change
2023-04-13,117722,132045,111835,119096,21377580,-0.051556900533566985
2023-04-14,123215,124392,115366,119880,8044397,0.006582924699402248
2023-04-17,119095,123608,116937,121058,6583976,0.009826493159826422
2023-04-18,123215,131456,118311,128710,8954066,0.06320937071486399
2023-04-19,126354,128512,120860,120861,5792622,-0.06098205267655976
2023-04-20,118310,122430,117918,119488,3870897,-0.011360157536343451
2023-04-21,118702,119880,112621,112621,5941044,-0.05747020621317622
2023-04-24,111051,121841,110659,117330,6858990,0.04181280578222535
2023-04-25,119488,121450,113406,117134,6463459,-0.0016705020028977557
2023-04-26,118507,121252,115367,117526,4879636,0.003346594498608413
2023-04-27,117525,139108,116152,139108,13562959,0.18363596140428506
2023-04-28,147153,155197,139108,143229,15123729,0.02962446444489175
2023-05-02,147152,152646,139696,143817,8197732,0.004105313868001614
2023-05-03,142247,143032,130475,131260,7025317,-0.08731234833156021
2023-05-04,131063,137931,127532,134007,6492026,0.020927929300624815
2023-05-08,136165,136557,124196,125178,4358200,-0.06588461796771805
2023-05-09,123803,126159,117722,122235,6652216,-0.023510521018070274
2023-05-10,122234,123411,115563,115760,5061619,-0.052971734773182844
2023-05-11,118507,122038,106734,107912,9124062,-0.0677954388389772
2023-05-12,105361,109874,103988,106735,7074949,-0.010907035362146988
2023-05-15,105165,105753,97905,102222,8524819,-0.0422822879093081
2023-05-16,104576,110070,102418,108108,7452799,0.05758055995773903
2023-05-17,106146,113602,105361,111444,4056555,0.03085803085803085
2023-05-18,113798,115563,109481,110855,3106566,-0.005285165643731382
2023-05-19,110266,110658,104183,104380,4027550,-0.05840963420684675
2023-05-22,103006,111443,100848,111247,4260241,0.06578846522322279
2023-05-23,112032,116348,111051,111836,3852156,0.005294524796174205
2023-05-24,113601,113993,110069,111247,2131175,-0.005266640437783909
2023-05-25,109481,111835,106930,107323,2419415,-0.035272861290641555
2023-05-26,107715,109677,104183,106342,2759760,-0.009140631551484812
2023-05-30,107519,107911,103006,107127,2872927,0.007381843486110817
2023-05-31,107127,111836,107127,110463,3290767,0.03114060881010383
2023-06-01,111443,111835,108892,110266,1609648,-0.0017834025872917048
2023-06-02,110069,113601,109284,111247,2546553,0.008896668057243318
2023-06-05,112228,112620,110069,111051,1790332,-0.001761845263243078
2023-06-07,111835,129887,111640,129887,9073319,0.1696157621273109
2023-06-08,128513,135184,127728,129102,6717622,-0.006043714921431742
2023-06-09,134987,137342,130474,131456,5990309,0.018233644715031527
2023-06-12,132829,136950,132045,135773,3642614,0.03283988558909434
2023-06-13,139108,147741,136754,146957,7403891,0.08237278398503389
2023-06-14,147545,155001,128709,130868,12705898,-0.10948100464761801
2023-06-15,137146,141659,133418,139305,7107649,0.06446954182840714
2023-06-16,140678,145583,134203,145191,4614815,0.04225261117691392
2023-06-19,145779,153431,143424,151469,6163919,0.04323959474072092
2023-06-20,148918,156766,147741,150096,4846869,-0.009064561065300514
2023-06-21,151272,154804,148722,149507,3731945,-0.0039241552073340236
2023-06-22,146760,152253,145386,149507,3412890,0.0
2023-06-23,151076,151468,148722,148722,1672607,-0.005250590273365163
2023-06-26,148918,152450,148722,149311,1879514,0.0039604093543659236
2023-06-27,148329,149114,139696,144798,4143281,-0.03022550247470046
2023-06-28,146564,147545,137146,137343,3306801,-0.05148551775577015
2023-06-29,138323,144209,136557,140089,3189439,0.01999373830482809
2023-06-30,142444,149115,140286,147938,3407925,0.05602866748995283
2023-07-03,151469,180311,150880,178153,15051473,0.2042409658100015
2023-07-04,179919,183254,165792,173837,9573828,-0.024226367223678547
2023-07-05,175406,187963,173247,185020,8358962,0.06433037845798073
2023-07-06,185609,192672,181292,184628,6109914,-0.002118689871365209
2023-07-07,184431,192279,183843,192280,4438794,0.04144550122408308
2023-07-10,195026,199147,184628,189337,5636953,-0.01530580403578119
2023-07-11,191102,195811,187963,191495,3661768,0.011397666594485045
2023-07-12,190318,192672,178349,180508,5711141,-0.05737486618449572
2023-07-13,178153,195026,173248,187571,7331421,0.039128459680457306
2023-07-14,189728,194045,186785,193849,3421141,0.03346999269609907
2023-07-17,196792,199147,193261,196008,3428475,0.01113753488540059
2023-07-18,199735,225242,197184,219356,8160674,0.11911758703726383
2023-07-19,216413,220925,212096,219160,3740584,-0.0008935246813399633
2023-07-20,213666,216609,209153,212489,2779764,-0.0304389487132688
2023-07-21,203267,233482,203070,224261,6912429,0.05540051485018038
2023-07-24,225830,231324,221318,227793,6208067,0.01574950615577375
2023-07-25,225242,259185,219748,253692,10572888,0.11369532865364618
2023-07-26,255653,301957,222887,240938,15375013,-0.05027356006496064
2023-07-27,235444,235444,188552,193261,14512270,-0.19788078260797382
2023-07-28,187570,217982,183450,216609,10489770,0.12081071711312674
2023-07-31,222887,240153,220729,236818,6785098,0.09329713908471016
2023-08-01,250159,253298,228577,237014,8358697,0.0008276397908941746
2023-08-02,228381,240742,219356,219356,5446234,-0.07450192815614265
2023-08-03,226615,236818,216609,236818,6602518,0.07960575502835576
2023-08-04,236817,242311,228969,230343,3607284,-0.027341671663471567
2023-08-07,224260,228969,200323,209153,6539436,-0.09199324485658344
2023-08-08,206995,216805,199735,211312,5311853,0.010322586814437207
2023-08-09,210134,230932,207780,221122,4739348,0.04642424471870976
2023-08-10,221906,232894,218963,228774,3868150,0.03460533099374996
2023-08-11,233679,234463,219748,223084,4515668,-0.02487170744927303
2023-08-14,217786,222887,205425,214451,4052534,-0.0386984274981621
2023-08-16,212489,218963,200717,200717,3588747,-0.06404260180647325
2023-08-17,202678,219159,199146,218571,5893385,0.08895111026968316
2023-08-18,219159,221709,207779,211115,3380480,-0.03411248518787946
2023-08-21,211900,231324,211900,230540,3862543,0.09201146294673523
2023-08-22,238387,250159,236817,247413,6148639,0.07318903444087788
2023-08-23,247608,249375,233286,239565,4345254,-0.031720241054431275
2023-08-24,245646,249375,241331,247021,3544487,0.031123077244171737
2023-08-25,241133,250943,238976,246628,2915001,-0.0015909578537857128
2023-08-28,250160,250160,243685,246236,2218110,-0.0015894383443890714
2023-08-29,243489,244862,233089,239565,2772466,-0.027091895579850256
2023-08-30,244666,247806,240350,244863,3039223,0.022115083589005158
2023-08-31,245646,248590,234267,246628,13788830,0.007208112291362978
2023-09-01,242114,242114,231324,231324,3209673,-0.06205297046564051
2023-09-04,225242,231324,216020,217983,3796668,-0.057672355657000574
2023-09-05,218375,219356,207780,211508,4152114,-0.029704151241151888
2023-09-06,214254,219748,204248,206014,3027062,-0.025975376817898188
2023-09-07,204051,208368,195615,197381,4057610,-0.04190491908316907
2023-09-08,197773,200520,191298,200324,3567744,0.01491024972008459
2023-09-11,201305,201501,192279,192280,2395374,-0.04015494898264815
2023-09-12,195027,196204,179526,182470,5873105,-0.051019346785937225
2023-09-13,181095,185411,176190,176387,4124698,-0.03333698690195652
2023-09-14,177564,183254,174817,177368,3479427,0.00556163436080892
2023-09-15,177760,179329,172855,174621,4842562,-0.015487573857742132
2023-09-18,175013,179330,170697,176387,3007241,0.01011333115719193
2023-09-19,175798,177564,172658,174621,1533533,-0.010012075719865954
2023-09-20,174621,186981,174621,186982,4271000,0.07078759141225865
2023-09-21,185216,194634,184627,190514,3036665,0.01888951877720846
2023-09-22,187962,192083,181879,187767,2036412,-0.01441888785076162
2023-09-25,189924,193260,172659,172659,3335272,-0.08046142293374237
2023-09-26,172658,179134,172266,174229,2357449,0.009093067838919389
2023-09-27,172659,179330,171090,176780,1757463,0.014641649782757282
2023-10-04,174620,175601,161279,161672,3086047,-0.08546215635252852
2023-10-05,166576,169127,161475,161868,1981933,0.001212331139591294
2023-10-06,161279,167165,161279,164615,1303798,0.01697061803444777
2023-10-10,165595,165988,152646,154216,2775070,-0.06317164292439936
2023-10-11,158336,167558,156178,165400,2691163,0.07252165793432597
2023-10-12,167361,175210,166184,171286,2045514,0.035586457073760513
2023-10-13,170305,172267,161672,163438,2067430,-0.04581810539098352
2023-10-16,156178,165202,154019,163830,2223910,0.002398463025734543
2023-10-17,166576,170697,162849,162849,1735613,-0.005987914301409991
2023-10-18,163045,166381,160887,161280,974336,-0.009634692260928834
2023-10-19,156963,158925,155197,156571,1332707,-0.02919766865079365
2023-10-20,153823,154019,145190,147349,3009311,-0.05889979625856645
2023-10-23,145387,149507,142051,143229,2168743,-0.02796082769479269
2023-10-24,144405,148722,134399,147545,3377992,0.030133562337236075
2023-10-25,148526,148722,135381,135381,2206199,-0.08244264461689654
2023-10-26,130278,133025,120271,121842,4715195,-0.10000664790480196
2023-10-27,123215,127924,119683,124589,3271496,0.022545591832044742
2023-10-30,123608,132045,122822,129887,2358346,0.04252381831461838
2023-10-31,130671,130867,120076,121646,2378907,-0.06344745817518305
2023-11-01,123019,126551,115760,117134,2561043,-0.03709123193528763
2023-11-02,120861,127336,119095,127336,2749204,0.08709682927245721
2023-11-03,130671,133418,123804,124982,3359298,-0.018486523842432656
2023-11-06,143621,162457,139697,162457,5876989,0.29984317741754807
2023-11-07,170697,182077,155981,168539,11953932,0.03743759887231701
2023-11-08,161083,165399,144602,144602,5388218,-0.14202647458451756
2023-11-09,147937,149702,135968,143032,4620539,-0.010857387864621537
2023-11-10,137931,139305,134400,134400,2295738,-0.06035013143911849
2023-11-13,137146,140481,133418,134988,1814567,0.004375000000000018
